country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Brazil, 2004",85354030,82639038,1703,6292
"Brazil, 2005",86641338,83842622,1804,6725
"Brazil, 2006",87930465,85044257,1801,6817
"Brazil, 2007",89134011,86159181,1871,6984
"Brazil, 2008",90268233,87203399,1918,7266
"Brazil, 2009",91363020,88206531,1873,7473
"Brazil, 2010",92439920,89189792,2073,7356
"Brazil, 2011",93501321,90155120,2088,7734
"Brazil, 2012",94517324,91073891,2254,8041
"Brazil, 2013",95499992,91958860,2223,8290
"Brazil, 2014",96461733,92823821,2233,8398
"Brazil, 2015",97410044,93677041,2397,8766
"Brunei Darussalam, 1996",128081,139044,1,11
"Brunei Darussalam, 1997",132979,141843,2,9
"Brunei Darussalam, 1998",138074,144684,0,8
"Brunei Darussalam, 1999",143023,147675,0,2
"Brunei Darussalam, 2000",147509,150865,2,3
"Brunei Darussalam, 2001",147422,151141,1,3
"Brunei Darussalam, 2002",144500,158600,0,1
"Brunei Darussalam, 2003",144900,157900,1,4
"Brunei Darussalam, 2004",154000,170800,1,2
"Brunei Darussalam, 2005",158600,176800,1,6
"Brunei Darussalam, 2006",163300,184600,4,6
"Brunei Darussalam, 2007",166935,175779,1,9
"Brunei Darussalam, 2008",168764,178785,3,6
"Brunei Darussalam, 2009",170638,181690,2,0
"Brunei Darussalam, 2010",179000,200000,0,5
"Brunei Darussalam, 2011",183100,204500,0,5
"Brunei Darussalam, 2012",178100,190600,0,8
"Brunei Darussalam, 2013",180669,192692,2,2
"Brunei Darussalam, 2014",183384,195272,2,3
"Brunei Darussalam, 2015",186156,197924,2,5
"Bulgaria, 1980",4116300,4068000,364,842
"Bulgaria, 1981",4144100,4090900,357,852
"Bulgaria, 1982",4168000,4109800,395,965
"Bulgaria, 1983",4188700,4124100,330,864
"Bulgaria, 1984",4208500,4136800,431,1080
"Bulgaria, 1985",4231000,4161500,422,1034
"Bulgaria, 1986",4230700,4160800,433,975
"Bulgaria, 1987",4243200,4132200,429,1063
"Bulgaria, 1988",4254300,4135500,427,1025
"Bulgaria, 1989",4264900,4138300,419,1041
"Bulgaria, 1990",4276100,4142400,403,920
"Bulgaria, 1991",4286600,4145300,383,1001
"Bulgaria, 1992",4098100,3943400,411,1108
"Bulgaria, 1993",4082700,3918300,447,1023
"Bulgaria, 1994",4084700,3910800,416,1048
"Bulgaria, 1995",4083800,3900100,413,1020
"Bulgaria, 1996",4077600,3885700,415,1111
"Bulgaria, 1997",4066800,3867100,463,1002
"Bulgaria, 1998",4053500,3846000,448,1055
"Bulgaria, 1999",4040600,3826000,342,965
"Bulgaria, 2000",4025070,3804025,382,1001
"Bulgaria, 2001",3903375,3688551,363,951
"Bulgaria, 2002",3882319,3662091,336,981
"Bulgaria, 2003",3859538,3633628,292,800
"Bulgaria, 2004",3839994,3607569,267,746
"Bulgaria, 2005",3821459,3582592,255,727
"Bulgaria, 2006",3801651,3556857,225,752
"Bulgaria, 2007",3780854,3531620,239,663
"Bulgaria, 2008",3760046,3507465,245,694
"Bulgaria, 2009",3737231,3482586,206,662
"Bulgaria, 2010",3708966,3453774,210,649
"Bulgaria, 2011",3642960,3413567,158,605
"Bulgaria, 2012",3581679,3377973,199,673
"Bulgaria, 2013",3562523,3358121,148,573
"Bulgaria, 2014",3545030,3338844,172,552
"Cabo Verde, 2011",227672,224507,5,37
"Canada, 1979",11052900,10855100,836,2519
"Canada, 1980",11180200,10972300,824,2531
"Canada, 1981",11406000,11153800,831,2569
"Canada, 1982",11501000,11288000,795,2722
"Canada, 1983",11681200,11391900,870,2885
"Canada, 1984",11795400,11487800,778,2661
"Canada, 1985",11912400,11587500,693,2565
"Canada, 1986",11941300,11557800,820,2850
"Canada, 1987",12093900,11704200,799,2792
"Canada, 1988",12241100,11839500,776,2734
"Canada, 1989",12391400,11977000,796,2695
"Canada, 1990",12566700,12137700,705,2673
"Canada, 1991",12911600,12478800,718,2875
"Canada, 1992",13378100,13076300,786,2922
"Canada, 1993",13621300,13323400,789,3014
"Canada, 1994",13780100,13465900,780,2968
"Canada, 1995",13973500,13645000,812,3156
"Canada, 1996",14021900,13684700,848,3093
"Canada, 1997",14212200,13872900,767,2914
"Canada, 1998",14355306,14017230,774,2925
"Canada, 1999",14510412,14171231,850,3224
"Canada, 2000",14673903,14334662,808,2798
"Canada, 2001",14797866,14464189,823,2871
"Canada, 2002",14988425,14653689,799,2851
"Canada, 2003",15148489,14810344,862,2903
"Canada, 2004",15313862,14970104,879,2734
"Canada, 2005",15472731,15124359,886,2857
"Canada, 2006",15611840,15291122,817,2695
"Canada, 2007",15780064,15462567,884,2727
"Canada, 2008",15951344,15637297,928,2777
"Canada, 2009",16124701,15812656,901,2989
"Canada, 2010",16299214,15986926,970,2981
"Canada, 2011",16464148,16151270,947,2781
"Canada, 2012",16639395,16321801,954,2972
"Canada, 2013",16819559,16495277,1013,3041
"Cayman Islands, 1994",15200,14200,0,0
"Chile, 1980",4983000,4857000,80,459
"Chile, 1981",5071000,4942000,114,536
"Chile, 1982",5157000,5025000,83,563
"Chile, 1983",5358611,5160528,102,558
"Chile, 1984",5336500,5201400,105,631
"Chile, 1985",5404600,5270800,111,572
"Chile, 1986",5542800,5388900,122,532
"Chile, 1987",5683300,5525700,125,568
"Chile, 1988",5745000,5561000,117,580
"Chile, 1989",5844000,5657000,99,626
"Chile, 1990",5950000,5759000,109,634
"Chile, 1991",6026200,5844800,133,654
"Chile, 1992",6160000,5965000,96,562
