country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Hungary, 1998",5114532,4619841,777,2468
"Hungary, 1999",5012914,4540150,778,2548
"Hungary, 2000",5001212,4525822,806,2463
"Hungary, 2001",5108202,4596396,696,2282
"Hungary, 2002",5097682,4582482,647,2192
"Hungary, 2003",5085880,4566653,640,2160
"Hungary, 2004",5076332,4553712,655,2087
"Hungary, 2005",5065815,4543128,593,2026
"Hungary, 2006",5056204,4534906,600,1861
"Hungary, 2007",5046647,4526291,571,1879
"Hungary, 2008",5035613,4517171,566,1910
"Hungary, 2009",5024813,4509424,559,1901
"Hungary, 2010",5012763,4501242,547,1942
"Hungary, 2011",5001593,4493418,574,1846
"Hungary, 2012",4972457,4480724,546,1803
"Hungary, 2013",4959970,4473870,505,1587
"Hungary, 2014",4946198,4466590,447,1478
"Hungary, 2015",4930381,4459138,479,1389
"Hungary, 2016",4909403,4446320,446,1316
"Iceland, 1981",104300,105400,4,12
"Iceland, 1982",105600,106900,7,15
"Iceland, 1983",106900,108200,7,33
"Iceland, 1984",108400,109200,7,37
"Iceland, 1985",109600,110500,7,25
"Iceland, 1986",110700,111600,12,25
"Iceland, 1987",112300,113300,14,22
"Iceland, 1988",114300,114900,5,30
"Iceland, 1989",115600,116400,6,16
"Iceland, 1990",116500,116800,5,35
"Iceland, 1991",118000,117900,8,29
"Iceland, 1992",118900,119100,5,23
"Iceland, 1993",120100,120400,7,19
"Iceland, 1994",121200,121500,4,21
"Iceland, 1995",122200,122500,5,22
"Iceland, 1996",123200,123300,5,28
"Iceland, 1997",124430,124499,7,26
"Iceland, 1998",126142,126111,7,23
"Iceland, 1999",127953,127867,7,24
"Iceland, 2000",129920,129803,8,42
"Iceland, 2001",131835,131903,8,28
"Iceland, 2002",133279,133176,10,20
"Iceland, 2003",134278,134052,6,20
"Iceland, 2004",135570,136018,9,26
"Iceland, 2005",137115,137814,9,24
"Iceland, 2006",139526,143473,10,22
"Iceland, 2007",141928,147784,7,30
"Iceland, 2008",145221,151615,11,27
"Iceland, 2009",146495,149709,7,29
"Iceland, 2010",146680,147940,10,36
"Iceland, 2011",147390,148085,5,22
"Iceland, 2012",148401,148837,11,26
"Iceland, 2013",149995,150461,14,35
"Iceland, 2014",151881,152591,11,33
"Iceland, 2015",153642,154912,11,29
"Iceland, 2016",155618,158162,4,36
"Iran (Islamic Rep of), 2013",35043584,35532136,823,1619
"Iran (Islamic Rep of), 2014",35532248,35978718,793,1692
"Iran (Islamic Rep of), 2015",36028349,36432650,706,1666
"Ireland, 1979",1507200,1517600,48,145
"Ireland, 1980",1522300,1530900,73,142
"Ireland, 1981",1542000,1548400,65,158
"Ireland, 1982",1557600,1565400,63,178
"Ireland, 1983",1573200,1578500,80,202
"Ireland, 1984",1597200,1593300,68,164
"Ireland, 1985",1607500,1600700,60,216
"Ireland, 1986",1613400,1603300,67,215
"Ireland, 1987",1620300,1609400,60,185
"Ireland, 1988",1622900,1610600,71,195
"Ireland, 1989",1617900,1605300,65,213
"Ireland, 1990",1618200,1605800,83,251
"Ireland, 1991",1639100,1613000,63,282
"Ireland, 1992",1654100,1629300,58,304
"Ireland, 1993",1666000,1640500,67,259
"Ireland, 1994",1676600,1649400,90,304
"Ireland, 1995",1689100,1656800,83,320
"Ireland, 1996",1704300,1671500,63,345
"Ireland, 1997",1723570,1690715,90,376
"Ireland, 1998",1741347,1708068,73,425
"Ireland, 1999",1757230,1724641,82,342
"Ireland, 2000",1777643,1745733,82,381
"Ireland, 2001",1801283,1772691,79,409
"Ireland, 2002",1835449,1804124,81,368
"Ireland, 2003",1862447,1831632,96,358
"Ireland, 2004",1890301,1862378,74,390
"Ireland, 2005",1926835,1906522,88,363
"Ireland, 2006",1970963,1966615,80,372
"Ireland, 2007",2016086,2010621,96,362
"Ireland, 2008",2056150,2038042,120,386
"Ireland, 2009",2075286,2042381,105,422
"Ireland, 2010",2145725,2119132,100,386
"Ireland, 2011",2130308,2088541,96,458
"Ireland, 2012",2137223,2083583,96,446
"Ireland, 2013",2139848,2087530,96,391
"Ireland, 2014",2186322,2141721,87,399
"Israel, 1979",1663500,1650300,87,162
"Israel, 1980",1710400,1695300,74,157
"Israel, 1981",1747800,1731300,78,132
"Israel, 1982",1787000,1769500,82,126
"Israel, 1983",1807400,1780300,80,165
"Israel, 1984",1854300,1832600,74,152
"Israel, 1985",1887900,1865600,75,159
"Israel, 1986",1918500,1895000,96,182
"Israel, 1987",1951100,1927000,78,193
"Israel, 1988",1985800,1961500,89,214
"Israel, 1989",2022600,1998500,105,248
"Israel, 1990",2093100,2063000,84,220
"Israel, 1991",2232700,2190500,97,262
"Israel, 1992",2319900,2269000,103,278
"Israel, 1993",2386800,2330200,99,272
"Israel, 1994",2453400,2391500,112,304
"Israel, 1995",2522200,2455500,102,258
"Israel, 1996",2597500,2506200,75,231
"Israel, 1997",2663700,2569800,78,301
"Israel, 1998",2728200,2632000,79,239
"Israel, 1999",2797781,2699266,71,297
"Israel, 2000",2872602,2770689,87,307
"Israel, 2001",2940730,2836737,75,323
"Israel, 2002",2999943,2895565,91,291
"Israel, 2003",3053427,2949700,72,345
"Israel, 2004",3106467,3003464,91,320
"Israel, 2005",3161517,3059344,121,304
"Israel, 2006",3217781,3116704,88,279
"Israel, 2007",3274672,3174142,63,263
"Israel, 2008",3332728,3232874,60,294
"Israel, 2009",3416862,3314973,94,310
"Israel, 2010",3475022,3374803,86,394
"Israel, 2011",3537223,3434272,87,322
"Israel, 2012",3596714,3498646,81,349
"Israel, 2013",3661643,3564365,81,291
"Israel, 2014",3731605,3634647,88,294
"Israel, 2015",3806333,3709847,73,269
"Italy, 1979",27237500,25829500,1245,2725
"Italy, 1980",27418300,25990700,1343,2812
"Italy, 1981",27576000,26133500,1185,2748
"Italy, 1982",27505300,25859600,1268,2929
"Italy, 1983",27659000,26001200,1264,3041
"Italy, 1984",27794200,26121300,1331,3123
"Italy, 1985",27902400,26212300,1388,3371
"Italy, 1986",27984600,26282900,1398,3293
"Italy, 1987",28063300,26360800,1253,3263
"Italy, 1988",28142500,26437200,1286,3095
"Italy, 1989",28206200,26491000,1218,3124
"Italy, 1990",28268100,26563600,1221,3181
"Italy, 1991",28089700,26375800,1247,3206
"Italy, 1992",27943121,26211777,1204,3339
"Italy, 1993",27943375,26197148,1181,3516
"Italy, 1994",27951526,26191523,1125,3411
"Italy, 1995",27960312,26180860,1139,3430
"Italy, 1996",27974178,26176154,1231,3458
"Italy, 1997",27999770,26181707,1147,3547
"Italy, 1998",28042969,26207623,1056,3448
"Italy, 1999",28067959,26212568,1010,3105
"Italy, 2000",28084432,26214514,1046,3062
"Italy, 2001",28107009,26226835,980,3050
"Italy, 2002",28200013,26326829,924,3145
"Italy, 2003",28388387,26549183,997,3078
"Italy, 2004",28428086,26560070,940,3046
"Italy, 2005",28553023,26691667,939,2803
"Italy, 2006",28976254,27204418,859,2841
"Italy, 2007",29184908,27398670,864,2893
"Italy, 2008",29410224,27599601,907,2997
"Italy, 2009",29592380,27759450,881,3093
"Italy, 2010",29749743,27888100,861,3128
"Italy, 2011",29311643,27298506,863,3290
"Italy, 2012",29395746,27399339,933,3324
"Italy, 2013",29719712,27783619,968,3322
"Italy, 2014",29990161,28110515,932,3215
"Italy, 2015",29981927,28135770,883,3105
"Jamaica, 1980",953714,923825,0,0
"Jamaica, 1981",969702,942593,1,1
"Jamaica, 1982",985283,960794,0,1
"Jamaica, 1983",996000,969000,4,3
"Jamaica, 1984",1013300,986600,1,3
"Jamaica, 1985",1030000,1005000,2,6
"Jamaica, 1986",1038341,1014190,0,1
"Jamaica, 1987",1049287,1021473,3,10
"Jamaica, 1988",1061303,1029300,2,3
"Jamaica, 1989",1073393,1037646,0,0
"Jamaica, 1990",1084740,1046301,0,3
"Jamaica, 1991",1097141,1057694,0,1
"Jamaica, 2000",1195600,1172241,0,3
"Jamaica, 2001",1207717,1183561,1,4
"Jamaica, 2002",1221144,1194573,0,2
"Jamaica, 2003",1235090,1205336,1,1
"Jamaica, 2004",1248432,1215976,0,1
"Jamaica, 2005",1260474,1226695,8,43
"Jamaica, 2006",1272816,1239781,0,0
"Jamaica, 2009",1297154,1271729,3,33
"Jamaica, 2010",1304899,1281753,0,3
"Jamaica, 2011",1311162,1289875,6,44
"Japan, 1979",54643300,52625200,7953,12758
"Japan, 1980",55294500,53179000,7759,12657
"Japan, 1981",55883700,53791000,7377,12599
"Japan, 1982",56410600,54312300,7450,13085
"Japan, 1983",56597000,54473000,8090,16763
"Japan, 1984",57044000,54906000,8074,16147
"Japan, 1985",57570400,55238800,8012,15245
"Japan, 1986",57963000,55716000,9134,16350
"Japan, 1987",58341000,56075000,8520,15143
"Japan, 1988",58690000,56411000,8490,14186
"Japan, 1989",59031000,56735000,8167,12846
"Japan, 1990",59319800,56931600,7754,12248
"Japan, 1991",59607000,57195000,7380,12400
"Japan, 1992",59878000,57433000,7360,13396
"Japan, 1993",60111000,57624000,6959,13394
"Japan, 1994",60308000,57756000,6852,13892
"Japan, 1995",60476900,57872600,7170,14079
"Japan, 1996",60707000,58078000,7266,14701
"Japan, 1997",60874000,58186000,7574,15706
"Japan, 1998",61057000,58281000,9380,22078
"Japan, 1999",61202000,58338000,8986,22129
"Japan, 2000",61266284,58486376,8574,21415
"Japan, 2001",61465000,58601000,8264,20868
"Japan, 2002",61581000,58608000,8248,21467
"Japan, 2003",61722000,58673000,8691,23190
"Japan, 2004",61816000,58684000,8270,21764
"Japan, 2005",61880779,58776728,8299,22070
"Japan, 2006",61929000,58773000,8486,21283
"Japan, 2007",61950000,58754000,8798,21867
"Japan, 2008",61917000,58685000,8668,21405
"Japan, 2009",61887000,58609000,8508,22015
"Japan, 2010",62244702,58882565,8506,20905
"Japan, 2011",62164000,58763000,8985,19781
"Japan, 2012",62082000,58653000,7936,18402
"Japan, 2013",61986000,58528000,7910,18081
"Japan, 2014",61879000,58395000,7537,16820
"Japan, 2015",61881634,58494676,6946,16146
"Kazakhstan, 1981",6972600,6389900,767,2622
"Kazakhstan, 1982",7054600,6464200,704,2666
"Kazakhstan, 1985",7274300,6686900,768,2760
"Kazakhstan, 1986",7343300,6764100,670,1995
"Kazakhstan, 1987",7418000,6851200,675,1973
"Kazakhstan, 1988",7492500,6940000,691,2089
"Kazakhstan, 1989",7573400,7033300,765,2460
"Kazakhstan, 1990",7651900,7122000,779,2393
"Kazakhstan, 1991",7738400,7214400,696,2386
"Kazakhstan, 1992",7836400,7313700,785,2571
"Kazakhstan, 1993",7926700,7404700,829,3190
"Kazakhstan, 1994",7854500,7375100,780,3244
"Kazakhstan, 1995",7748300,7241300,800,3906
"Kazakhstan, 1996",7485500,7002200,777,3996
"Kazakhstan, 1997",7435300,6959300,761,3881
"Kazakhstan, 1998",7208100,6636100,729,3584
"Kazakhstan, 1999",7172000,6601400,663,3328
"Kazakhstan, 2000",7170861,6601561,746,3682
"Kazakhstan, 2001",7173092,6599604,658,3719
"Kazakhstan, 2002",7175393,6602083,678,3562
"Kazakhstan, 2003",7194691,6617172,688,3633
"Kazakhstan, 2004",7229228,6644100,692,3702
"Kazakhstan, 2005",7271570,6676200,634,3269
"Kazakhstan, 2006",7322123,6715553,675,3401
"Kazakhstan, 2007",7372205,6753401,721,3420
"Kazakhstan, 2008",7423151,6792902,767,3230
"Kazakhstan, 2009",7504656,6865979,718,3120
"Kazakhstan, 2010",7673426,7039741,645,2964
"Kazakhstan, 2011",7750225,7103125,608,2793
"Kazakhstan, 2012",7831781,7191768,563,2677
"Kazakhstan, 2013",7928812,7286570,675,2837
"Kazakhstan, 2014",8035694,7393150,563,2556
"Kazakhstan, 2015",8143820,7502932,530,2342
"Kiribati, 1991",31514,30341,2,8
"Kiribati, 1992",32009,30847,1,3
"Kiribati, 1993",32481,31367,2,10
"Kiribati, 1994",32964,31907,2,8
"Kiribati, 1995",33489,32434,0,2
"Kiribati, 1996",34108,33018,3,3
"Kiribati, 1997",34738,33590,0,5
"Kiribati, 1998",35402,34168,0,4
"Kiribati, 1999",36134,34804,0,0
"Kiribati, 2000",36923,35517,0,0
"Kiribati, 2001",37617,36234,0,0
"Kuwait, 1979",449000,612100,0,4
"Kuwait, 1980",475900,668200,3,7
"Kuwait, 1981",513800,712900,4,6
"Kuwait, 1982",533500,789800,1,1
"Kuwait, 1983",563700,778000,1,6
"Kuwait, 1984",591900,922300,5,9
"Kuwait, 1985",618700,849300,3,14
"Kuwait, 1986",648100,887200,4,12
"Kuwait, 1987",679100,927200,5,11
"Kuwait, 1993",537500,736100,6,12
"Kuwait, 1994",541900,906100,12,18
"Kuwait, 1995",564200,946900,5,21
"Kuwait, 1996",585400,983300,11,19
"Kuwait, 1997",603700,1013800,17,16
"Kuwait, 1998",701642,1124124,15,20
"Kuwait, 1999",726400,1172300,13,33
"Kuwait, 2000",751141,1222012,14,20
"Kuwait, 2001",788333,1250197,5,25
"Kuwait, 2002",838024,1320579,11,34
"Kuwait, 2003",781093,1169529,14,30
"Kuwait, 2004",799018,1197068,17,28
"Kuwait, 2005",827139,1235829,11,41
"Kuwait, 2006",874924,1290789,11,34
"Kuwait, 2007",1121150,1953768,14,37
"Kuwait, 2008",1246716,2122678,14,33
"Kuwait, 2009",1168051,1997603,21,40
"Kuwait, 2010",1277638,2003976,13,26
"Kuwait, 2011",1301924,2031774,15,26
"Kuwait, 2012",1370969,2125729,19,37
"Kuwait, 2013",1395687,2178403,13,28
"Kuwait, 2014",1444023,2271261,18,50
"Kyrgyzstan, 1981",1655400,1538000,121,388
"Kyrgyzstan, 1982",1687500,1567500,104,412
"Kyrgyzstan, 1985",1773900,1654000,117,348
"Kyrgyzstan, 1986",1800600,1683600,91,286
"Kyrgyzstan, 1987",1829200,1715400,135,340
"Kyrgyzstan, 1988",1858000,1747800,128,350
"Kyrgyzstan, 1989",1890500,1783000,142,384
"Kyrgyzstan, 1990",1920800,1816500,147,400
"Kyrgyzstan, 1991",1948400,1848100,133,410
"Kyrgyzstan, 1992",1966200,1873100,106,385
"Kyrgyzstan, 1993",1961300,1879900,121,442
"Kyrgyzstan, 1994",1963400,1887700,88,493
"Kyrgyzstan, 1995",1990300,1915100,138,467
"Kyrgyzstan, 1996",2025300,1953500,88,392
"Kyrgyzstan, 1997",2065300,1994600,87,409
"Kyrgyzstan, 1998",2104200,2035500,88,421
"Kyrgyzstan, 1999",2184800,2113300,99,457
"Kyrgyzstan, 2000",2219757,2149445,96,414
"Kyrgyzstan, 2001",2247827,2177957,77,483
"Kyrgyzstan, 2002",2270926,2202237,100,467
"Kyrgyzstan, 2003",2294196,2226647,82,397
"Kyrgyzstan, 2004",2319808,2252470,75,363
"Kyrgyzstan, 2005",2342413,2272120,84,386
"Kyrgyzstan, 2006",2358627,2287848,97,366
"Kyrgyzstan, 2007",2370809,2297831,116,366
"Kyrgyzstan, 2008",2382264,2308660,94,379
"Kyrgyzstan, 2009",2440897,2359237,96,362
"Kyrgyzstan, 2010",2459943,2377613,105,395
"Kyrgyzstan, 2011",2476889,2393649,108,363
"Kyrgyzstan, 2012",2507405,2424955,122,402
"Kyrgyzstan, 2013",2546971,2465229,97,349
"Kyrgyzstan, 2014",2588607,2507823,103,358
"Kyrgyzstan, 2015",2637675,2558152,90,327
"Latvia, 1980",1271100,1067700,202,623
"Latvia, 1981",1274000,1070900,181,663
"Latvia, 1982",1278000,1075500,229,639
"Latvia, 1983",1282700,1080600,199,653
"Latvia, 1984",1287300,1086400,208,666
"Latvia, 1985",1292800,1092900,186,571
"Latvia, 1986",1299700,1101500,162,495
"Latvia, 1987",1309100,1112700,197,414
"Latvia, 1988",1320000,1126200,171,442
"Latvia, 1989",1327500,1135600,212,473
"Latvia, 1990",1328600,1139200,154,541
"Latvia, 1991",1327200,1139300,179,578
"Latvia, 1992",1317600,1129500,212,709
"Latvia, 1993",1302400,1114000,232,867
"Latvia, 1994",1290800,1101900,195,838
"Latvia, 1995",1281400,1093300,199,825
"Latvia, 1996",1275300,1088100,181,741
"Latvia, 1997",1270100,1084600,180,706
"Latvia, 1998",1263700,1080400,161,678
"Latvia, 1999",1257700,1075700,170,593
"Latvia, 2000",1231238,1040869,152,618
"Latvia, 2001",1216273,1025954,137,571
"Latvia, 2002",1202812,1011672,149,521
"Latvia, 2003",1190504,999707,122,482
"Latvia, 2004",1176197,987280,106,457
"Latvia, 2005",1162467,975364,119,445
"Latvia, 2006",1150136,965079,80,407
"Latvia, 2007",1137981,955897,95,358
"Latvia, 2008",1123835,943694,100,427
"Latvia, 2009",1105335,924981,100,416
"Latvia, 2010",1084378,903528,62,376
"Latvia, 2011",1066473,887138,75,365
"Latvia, 2012",1053575,877946,73,371
"Latvia, 2013",1042154,870310,61,322
"Latvia, 2014",1031287,862754,71,311
"Latvia, 2015",1020425,855097,81,306
"Lithuania, 1981",1689900,1482200,195,960
"Lithuania, 1982",1701800,1492500,225,948
"Lithuania, 1985",1738300,1527600,242,966
"Lithuania, 1986",1751700,1542000,192,718
"Lithuania, 1987",1766100,1558200,218,832
"Lithuania, 1988",1781900,1577300,234,735
"Lithuania, 1989",1797205,1593504,189,809
"Lithuania, 1990",1806831,1601279,190,777
"Lithuania, 1991",1813102,1606432,221,920
"Lithuania, 1992",1814862,1607371,271,1021
"Lithuania, 1993",1811679,1602155,273,1287
"Lithuania, 1994",1806710,1594020,262,1438
"Lithuania, 1995",1801623,1585526,306,1388
"Lithuania, 1996",1797385,1577778,334,1388
"Lithuania, 1997",1793519,1570754,284,1348
"Lithuania, 1998",1788120,1562853,268,1285
"Lithuania, 1999",1780538,1552914,265,1285
"Lithuania, 2000",1772419,1542706,314,1317
"Lithuania, 2001",1762927,1531211,278,1255
"Lithuania, 2002",1754027,1520461,242,1309
"Lithuania, 2003",1744500,1509627,256,1199
"Lithuania, 2004",1729047,1493922,256,1124
"Lithuania, 2005",1705193,1469535,235,1084
"Lithuania, 2006",1681937,1443830,196,853
"Lithuania, 2007",1664090,1423777,177,848
"Lithuania, 2008",1647209,1406547,193,918
"Lithuania, 2009",1629588,1386909,186,952
"Lithuania, 2010",1596518,1353219,189,829
"Lithuania, 2011",1560470,1319335,201,817
"Lithuania, 2012",1538559,1299211,174,753
"Lithuania, 2013",1521634,1284993,198,887
"Lithuania, 2014",1507700,1273877,161,769
"Lithuania, 2015",1493405,1260521,169,727
"Lithuania, 2016",1473760,1243390,129,697
"Luxembourg, 1979",175100,166800,25,48
"Luxembourg, 1980",175500,167700,12,35
"Luxembourg, 1981",176400,167300,16,45
"Luxembourg, 1982",177200,167200,18,60
"Luxembourg, 1983",177200,166800,22,59
"Luxembourg, 1984",177600,166900,22,47
"Luxembourg, 1985",177800,167000,16,39
"Luxembourg, 1986",178400,167600,14,37
"Luxembourg, 1987",179900,169500,29,45
"Luxembourg, 1988",181200,171100,17,52
"Luxembourg, 1989",182400,173000,19,54
"Luxembourg, 1990",183800,175000,21,47
"Luxembourg, 1991",185300,177600,23,54
"Luxembourg, 1992",187500,179800,30,29
"Luxembourg, 1993",189800,182200,16,48
"Luxembourg, 1994",192500,184500,13,61
"Luxembourg, 1995",195200,186900,18,45
"Luxembourg, 1996",198100,189600,19,53
"Luxembourg, 1997",200500,192100,21,60
"Luxembourg, 1998",202969,194946,16,48
"Luxembourg, 1999",205728,198162,21,49
"Luxembourg, 2000",208844,201320,15,47
"Luxembourg, 2001",210560,203370,23,50
"Luxembourg, 2002",212607,205499,22,63
"Luxembourg, 2003",215220,208434,8,40
"Luxembourg, 2004",218164,211964,17,45
"Luxembourg, 2005",221635,215703,10,39
"Luxembourg, 2006",225320,219501,18,47
"Luxembourg, 2007",228792,223220,25,53
"Luxembourg, 2008",232706,227665,8,35
"Luxembourg, 2009",236760,232449,12,36
"Luxembourg, 2010",240811,237168,11,43
"Luxembourg, 2011",245722,243196,18,37
"Luxembourg, 2012",251233,249811,12,39
"Luxembourg, 2013",256679,256010,16,24
"Luxembourg, 2014",262502,262438,15,52
"Luxembourg, 2015",268532,269216,19,45
"Macau, 1994",178707,167835,12,15
"Maldives, 2000",122358,125029,0,0
"Maldives, 2001",125377,130126,1,2
"Maldives, 2002",128226,135521,1,2
"Maldives, 2003",130955,141155,1,3
"Maldives, 2004",133600,146926,1,0
"Maldives, 2005",136196,152740,0,1
"Maldives, 2007",141185,164351,2,3
"Maldives, 2008",143697,170227,0,0
"Maldives, 2010",148879,182680,0,1
"Maldives, 2011",151504,189514,0,2
"Malta, 1979",148700,138100,0,0
"Malta, 1980",149700,140000,0,0
"Malta, 1981",150700,141400,0,0
"Malta, 1982",154400,143800,0,1
"Malta, 1983",156000,145500,1,0
"Malta, 1984",157300,147200,0,0
"Malta, 1985",158400,148800,0,2
"Malta, 1986",160700,155100,1,0
"Malta, 1987",161600,155800,0,1
"Malta, 1988",163200,157600,1,8
"Malta, 1989",164600,159400,5,18
"Malta, 1990",166300,161100,0,8
"Malta, 1991",168000,162800,1,9
"Malta, 1992",169500,164800,6,12
"Malta, 1993",171100,166600,7,9
"Malta, 1994",173200,168500,3,12
"Malta, 1995",174600,170300,6,11
"Malta, 1996",176100,172100,1,9
"Malta, 1997",177400,173000,4,11
"Malta, 1998",178700,174700,1,11
"Malta, 1999",179700,175900,5,22
"Malta, 2000",183436,179240,6,17
"Malta, 2001",187527,183014,7,23
"Malta, 2002",189363,185093,8,11
"Malta, 2003",190926,186859,3,17
"Malta, 2004",192453,188465,10,14
"Malta, 2005",193987,190124,3,16
"Malta, 2006",194752,191286,5,21
"Malta, 2007",195321,192260,1,25
"Malta, 2008",196458,193737,2,12
"Malta, 2009",197777,195325,3,33
"Malta, 2010",198823,196126,2,29
"Malta, 2011",199666,196757,0,20
"Malta, 2012",200825,198313,6,19
"Malta, 2013",202191,200537,1,21
"Malta, 2014",203697,202828,5,27
"Malta, 2015",205464,205173,7,27
"Martinique, 1981",155467,144828,7,30
"Martinique, 1982",156741,145883,7,20
"Martinique, 1985",155400,142900,5,7
"Martinique, 2000",191661,167945,4,29
"Martinique, 2001",193549,168785,9,31
"Martinique, 2002",195367,169851,3,28
"Martinique, 2003",197053,170994,6,26
"Martinique, 2004",198526,171942,9,25
"Martinique, 2005",199647,172474,4,22
"Martinique, 2006",200269,172564,6,30
"Martinique, 2007",200693,172289,5,27
"Martinique, 2008",200902,171698,6,44
"Martinique, 2009",200966,170933,7,19
"Martinique, 2010",200950,170129,5,21
"Martinique, 2011",199481,168306,5,32
"Martinique, 2013",200604,167239,9,18
"Martinique, 2014",200383,166441,7,25
"Mauritius, 1981",423500,401500,10,9
"Mauritius, 1982",427700,406900,3,10
"Mauritius, 1983",430300,425500,10,8
"Mauritius, 1984",435800,433200,51,67
"Mauritius, 1985",441600,441800,36,68
"Mauritius, 1986",449200,448900,8,20
"Mauritius, 1987",457600,453700,53,87
"Mauritius, 1988",464900,460100,56,111
"Mauritius, 1989",470000,462900,37,107
"Mauritius, 1990",473800,467300,56,91
"Mauritius, 1991",470500,467600,43,94
"Mauritius, 1992",474300,474000,46,100
"Mauritius, 1993",478600,479700,45,93
"Mauritius, 1994",486500,486300,22,107
"Mauritius, 1995",491000,490900,32,115
"Mauritius, 1996",497800,497200,36,117
"Mauritius, 1997",506100,505600,20,102
"Mauritius, 1998",513700,512600,41,114
"Mauritius, 1999",522200,520200,54,120
"Mauritius, 2000",533800,522273,30,107
"Mauritius, 2001",540578,528369,37,76
"Mauritius, 2002",546484,533271,29,102
"Mauritius, 2003",553099,539135,24,64
"Mauritius, 2004",558761,544330,22,75
"Mauritius, 2005",564335,549607,23,79
"Mauritius, 2006",570301,555000,29,89
"Mauritius, 2007",575526,559707,30,97
"Mauritius, 2008",581472,564786,12,72
"Mauritius, 2009",585984,573567,23,92
"Mauritius, 2010",591617,573314,22,76
"Mauritius, 2011",596187,577165,23,95
"Mauritius, 2012",600082,580465,26,89
"Mauritius, 2013",580273,567117,15,83
"Mauritius, 2014",582353,569071,24,96
"Mauritius, 2015",584173,570675,26,78
"Mauritius, 2016",585421,571808,15,83
"Mayotte, 2011",92192,87002,0,0
"Mayotte, 2012",95156,90034,0,2
"Mayotte, 2013",98293,93298,0,3
"Mayotte, 2014",101486,96627,0,1
"Mexico, 1979",28327247,27978687,224,868
"Mexico, 1980",29211300,28849513,192,769
"Mexico, 1981",29898000,29791300,261,915
"Mexico, 1982",30682700,30573300,255,911
"Mexico, 1983",30671000,30559000,208,822
"Mexico, 1984",32561930,32074780,145,770
"Mexico, 1985",33840000,33726000,265,1279
"Mexico, 1986",34619300,34504200,269,1445
"Mexico, 1987",34088100,33860000,285,1416
"Mexico, 1988",34952000,34694000,280,1423
"Mexico, 1989",35825000,35534000,285,1580
"Mexico, 1990",36700900,36376000,278,1648
"Mexico, 1991",37578000,37218300,314,1789
"Mexico, 1992",38081100,37204700,338,1899
"Mexico, 1993",38875500,37951300,331,2011
"Mexico, 1994",39672900,38701200,393,2195
"Mexico, 1995",40473300,39453800,443,2434
"Mexico, 1996",42339570,41462724,494,2514
"Mexico, 1997",43109043,42231837,539,2811
"Mexico, 1998",43846755,42978923,510,2802
"Mexico, 1999",44564365,43707612,508,2819
"Mexico, 2000",45273122,44421671,537,2919
"Mexico, 2001",45948892,45103822,672,3088
"Mexico, 2002",46621484,45772832,656,3170
"Mexico, 2003",47308985,46449874,694,3376
"Mexico, 2004",48030275,47162793,675,3381
"Mexico, 2005",48798775,47931233,730,3544
"Mexico, 2006",49677364,48791475,709,3521
"Mexico, 2007",50584998,49709299,762,3523
"Mexico, 2008",51508653,50661934,860,3782
"Mexico, 2009",52430411,51613931,966,4057
"Mexico, 2010",53336733,52539128,900,3958
"Mexico, 2011",54210107,53444993,1071,4487
"Mexico, 2012",55063134,54305631,1051,4330
"Mexico, 2013",55902257,55134451,1043,4668
"Mexico, 2014",56736919,55955670,1228,4950
"Mexico, 2015",57572745,56785139,1248,4986
"Mongolia, 2016",1379393,1318771,63,387
"Montenegro, 2000",294375,284293,0,0
"Montenegro, 2001",294375,284293,0,0
"Montenegro, 2002",294375,284293,0,0
"Montenegro, 2003",295006,284682,0,0
"Montenegro, 2004",296190,285433,0,0
"Montenegro, 2005",297170,286062,36,82
"Montenegro, 2006",298106,286779,0,0
"Montenegro, 2007",299228,288016,32,89
"Montenegro, 2008",300478,289475,46,80
"Montenegro, 2009",301606,290628,30,77
"Netherlands, 1979",6635500,6515700,644,821
"Netherlands, 1980",6696600,6568100,529,901
"Netherlands, 1981",6748600,6610500,566,865
"Netherlands, 1982",6787400,6639000,612,923
"Netherlands, 1983",6823500,6663500,681,1039
"Netherlands, 1984",6859400,6689700,699,1083
"Netherlands, 1985",6897600,6720700,590,1048
"Netherlands, 1986",6938800,6756700,606,998
"Netherlands, 1987",6981500,6795500,621,995
"Netherlands, 1988",7022600,6833100,558,965
"Netherlands, 1989",7061200,6868100,567,953
"Netherlands, 1990",7103800,6910500,541,909
"Netherlands, 1991",7152900,6961900,578,1033
"Netherlands, 1992",7203900,7013000,546,1041
"Netherlands, 1993",7252600,7061000,535,1020
"Netherlands, 1994",7294900,7102800,500,1084
"Netherlands, 1995",7333000,7141000,511,1000
"Netherlands, 1996",7374000,7179700,534,1043
"Netherlands, 1997",7418400,7221500,530,1042
"Netherlands, 1998",7465500,7269100,517,1002
"Netherlands, 1999",7513800,7318200,503,1016
"Netherlands, 2000",7563123,7370112,501,1000
"Netherlands, 2001",7613034,7425303,464,1010
"Netherlands, 2002",7657662,7472656,507,1063
"Netherlands, 2003",7695747,7507650,484,1018
"Netherlands, 2004",7729729,7536132,492,1022
"Netherlands, 2005",7760047,7560548,500,1074
"Netherlands, 2006",7785922,7582775,479,1046
"Netherlands, 2007",7814372,7611032,410,944
"Netherlands, 2008",7852870,7654093,448,991
"Netherlands, 2009",7897259,7704917,462,1068
